920314	r535	{'rock': 49}	kz620
889178	z262	{'paper': 10, 'rock': 41}	fu215
008865	z248	{'paper': 38}	de790
327260	x446	{'scissor': 25, 'paper': 43, 'rock': 49}	qs103
944594	u224	{'paper': 18}	kr995
438539	z350	{'scissor': 32, 'paper': 18}	ht985
123821	t300	{'scissor': 20}	vx130
711320	d833	{'scissor': 30, 'paper': 9, 'rock': 45}	ht387
917462	w415	{'rock': 34}	gj318
273319	b677	{'scissor': 3, 'paper': 6}	sv682
412224	z601	{'paper': 47}	gl751
485002	m094	{'scissor': 29, 'paper': 40, 'rock': 27}	fs065
072055	z768	{'scissor': 3, 'paper': 1, 'rock': 13}	or809
136656	f745	{'scissor': 19, 'paper': 11, 'rock': 12}	vb943
017483	f661	{'rock': 8}	ml544
549604	c263	{'scissor': 28}	sj443
590064	f271	{'scissor': 7, 'rock': 30}	vm792
580127	d479	{'scissor': 43, 'rock': 40}	gf196
078073	b070	{'scissor': 20, 'paper': 4, 'rock': 1}	kb215
413677	s068	{'scissor': 33, 'paper': 4, 'rock': 43}	bl560
887352	d541	{'scissor': 7, 'rock': 9}	vb943
358790	j310	{'scissor': 45, 'paper': 47}	mx945
664798	z575	{'scissor': 25}	qq662
303951	v784	{'scissor': 22, 'paper': 32, 'rock': 21}	jl276
087621	n625	{'paper': 34}	ej327
657672	a409	{'scissor': 47, 'paper': 26}	kg058
058439	k059	{'scissor': 49, 'paper': 31, 'rock': 34}	lu619
227424	d987	{'scissor': 21, 'paper': 5, 'rock': 35}	hn199
052602	v727	{'scissor': 15, 'paper': 12, 'rock': 17}	zn873
658924	z111	{'scissor': 18, 'paper': 10, 'rock': 33}	hf554
302184	d765	{'paper': 34, 'rock': 26}	hd664
714190	t338	{'scissor': 46, 'paper': 20, 'rock': 36}	zw613
370170	a493	{'scissor': 6, 'rock': 45}	pg843
547912	m966	{'scissor': 6, 'paper': 20, 'rock': 12}	ze958
758992	o151	{'rock': 50}	cl248
170478	b013	{'scissor': 24, 'paper': 43, 'rock': 21}	qe341
381330	q090	{'scissor': 23, 'paper': 14}	ue124
402205	x860	{'paper': 9}	cs711
775589	m576	{'scissor': 13}	fg117
671218	d186	{'scissor': 24, 'paper': 21}	ux393
298449	n581	{'paper': 33}	ni562
317466	p676	{'paper': 17, 'rock': 31}	st192
520735	h338	{'paper': 46}	me829
373481	t581	{'scissor': 7, 'paper': 30, 'rock': 15}	pf044
409650	u265	{'paper': 2, 'rock': 36}	sd980
361647	v506	{'paper': 8}	cz377
160963	a306	{'scissor': 3, 'rock': 49}	xh196
886408	i362	{'scissor': 33, 'paper': 46, 'rock': 26}	se229
210543	m357	{'paper': 14, 'rock': 46}	yg675
011778	f327	{'paper': 47}	co339
657791	q284	{'scissor': 40, 'paper': 47, 'rock': 47}	qh132
648815	k260	{'scissor': 36, 'paper': 40, 'rock': 50}	cw008
634197	d831	{'paper': 23}	zl860
608484	g836	{'scissor': 13, 'rock': 10}	hd664
478358	c490	{'scissor': 29, 'rock': 44}	df591
608643	n328	{'scissor': 42, 'paper': 1, 'rock': 19}	sk444
964289	n577	{'scissor': 35}	xk892
730692	g110	{'paper': 14, 'rock': 28}	xd630
713078	h037	{'scissor': 50, 'paper': 1, 'rock': 49}	xv662
606751	n732	{'scissor': 32, 'rock': 1}	ou037
494120	x883	{'paper': 16}	lo606
696409	e637	{'scissor': 47, 'paper': 11}	wj228
236287	k205	{'scissor': 19}	ui092
196548	u509	{'scissor': 43, 'rock': 26}	ov562
160682	k619	{'scissor': 18, 'paper': 8, 'rock': 42}	mk906
